word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
pot	1.0	-4.05	18	21	214	19	1	1	1	508	20	2	2	2	3
slaim	1.0	-5.31	0	2	467	44	10	5	1	111	10	6	2	1	5
b@hend@	1.0	-6.62	0	0	263	36	5	2	2	684	68	18	5	1	7
lez@rlix	1.0	-8.34	0	0	192	37	3	3	1	121	74	19	3	3	8
ung@sl&xt	1.0	-8.85	0	0	37	18	3	3	2	508	47	15	1	1	9
in@von@n	1.0	-8.06	0	0	67	36	5	1	1	1218	861	67	4	2	8
+al	1.0	-3.8	20	22	27	6	1	1	1	286	36	1	1	1	3
k&p@n	1.0	-3.61	10	13	456	88	12	2	1	1218	861	20	8	1	5
g@vai	1.0	-5.41	0	0	234	72	9	1	1	95	16	2	1	1	5
klau@	1.0	-4.65	0	1	456	49	10	4	2	684	6	3	1	1	5
k&priol@	1.0	-7.54	0	0	456	88	12	1	1	684	67	12	1	1	8
habixt	1.0	-6.34	0	0	207	37	2	1	1	508	47	15	1	1	6
p&lav@r	1.0	-7.38	0	0	214	55	4	1	1	373	230	2	2	1	7
ferzon@n	1.0	-6.13	0	0	259	56	36	2	1	1218	861	67	4	1	8
enklav@	1.0	-7.68	0	0	93	16	2	1	1	684	10	3	2	2	7
di&gnosti=ir@n	1.0	-12.83	0	0	118	24	2	1	1	1218	861	70	32	3	14
loymunt	1.0	-7.37	0	0	192	24	5	1	1	508	89	15	3	1	7
gauk@ln	1.0	-6.67	0	0	234	18	5	1	1	1218	67	67	5	1	7
mumi@	1.0	-7.32	0	0	247	22	1	1	1	684	16	2	1	1	5
g/=@	1.0	-4.23	0	0	234	2	1	1	1	684	29	1	1	1	4
lozir@n	1.0	-5.81	0	0	192	24	2	1	1	1218	861	70	32	3	7
d|z@n	1.0	-4.32	0	0	118	1	1	1	1	1218	861	27	1	1	5
media	1.0	-5.72	0	0	247	37	3	3	1	78	3	2	1	1	5
&lmoz@n	1.0	-6.63	0	0	129	24	5	1	1	1218	861	27	4	1	7
ledir@n	1.0	-5.92	0	0	192	37	3	2	1	1218	861	70	32	1	7
psyx@	1.0	-6.7	0	0	214	1	1	1	1	684	22	3	1	1	5
graif	1.0	-4.57	2	4	234	45	13	3	2	48	18	7	4	1	5
ho+@n	1.0	-4.11	8	8	207	34	1	1	1	1218	861	21	4	1	5
svais@n	1.0	-4.98	6	6	467	38	8	5	1	1218	861	63	23	6	7
snup@rn	1.0	-6.29	0	0	467	23	5	1	1	1218	104	87	8	1	7
ulan	1.0	-6.1	4	4	37	2	1	1	1	1218	32	4	1	1	4
topos	1.0	-5.84	0	0	173	22	1	1	1	210	24	2	1	1	5
sab@rn&k	1.0	-8.47	0	0	467	23	2	2	1	111	8	1	1	1	8
br&ntvain	1.0	-8.53	0	0	263	37	2	2	1	1218	57	25	3	1	9
b&=ilus	1.0	-7.67	0	0	263	35	2	2	2	210	40	2	1	1	7
tik	1.0	-3.76	16	17	173	14	2	2	2	111	26	6	6	6	3
kul@	1.0	-3.87	18	18	456	32	5	2	2	684	67	7	1	1	4
mon	1.0	-3.0	18	19	247	43	13	13	13	1218	47	2	2	2	3
d)mlix	1.0	-5.92	0	0	118	1	1	1	1	121	74	19	2	1	6
&nerbit@n	1.0	-8.73	0	0	129	37	1	1	1	1218	861	82	13	2	9
zupe	1.0	-6.28	2	2	142	10	2	1	1	23	2	1	1	1	4
b&tl@r	1.0	-6.51	0	0	263	35	1	1	1	373	230	11	1	1	6
svad@n	1.0	-4.74	0	1	467	38	8	1	1	1218	861	42	5	1	6
glim@n	1.0	-5.31	0	0	234	18	3	1	1	1218	861	34	8	1	6
firl@f&n=	1.0	-11.18	0	0	259	28	7	1	1	53	10	6	1	1	9
krib@ln	1.0	-6.03	4	4	456	54	8	1	1	1218	67	67	3	1	7
&lm&ndin	1.0	-8.2	0	0	129	24	5	2	2	1218	57	2	1	1	8
moslem	1.0	-7.59	0	0	247	43	4	1	1	111	12	2	1	1	6
kismet	1.0	-6.85	0	0	456	25	4	1	1	508	28	2	1	1	6
syrf@n	1.0	-5.02	4	6	467	11	4	1	1	1218	861	36	5	3	6
metropolis	1.0	-9.81	0	0	247	37	9	4	3	210	49	4	1	1	10
metropolit	1.0	-9.81	0	0	247	37	9	4	3	508	35	3	1	1	10
&n@r	1.0	-4.13	2	4	129	37	3	1	1	373	230	17	5	5	4
haubi=@	1.0	-7.39	0	0	207	37	8	2	1	684	29	4	1	1	7
opd&x	1.0	-5.92	0	0	60	14	1	1	1	121	11	2	1	1	5
kolorit	1.0	-7.07	0	0	456	86	15	3	1	508	35	3	1	1	7
opium	1.0	-5.81	0	0	60	14	1	1	1	111	33	9	1	1	5
sn&t@rn	1.0	-5.36	2	2	467	23	6	1	1	1218	104	87	24	4	7
r&nk@n	1.0	-4.15	8	11	165	23	5	3	2	1218	861	83	26	6	6
&rkad@	1.0	-6.01	0	0	129	19	3	1	1	684	68	16	5	1	6
m&nko	1.0	-6.76	0	0	247	53	12	1	1	44	1	1	1	1	5
kerb@	1.0	-5.18	4	5	456	24	7	1	1	684	33	8	4	1	5
tau@n	1.0	-4.32	8	14	173	19	11	1	1	1218	861	10	10	2	5
m&rtyrium	1.0	-8.73	0	0	247	53	16	3	1	111	33	9	2	1	9
italis	1.0	-8.02	0	0	67	1	1	1	1	210	49	4	1	1	6
kloroform	1.0	-9.8	0	0	456	49	7	2	1	111	15	4	3	1	9
remp@ln	1.0	-5.58	2	3	165	29	1	1	1	1218	67	67	9	4	7
b|@	1.0	-3.76	2	3	263	3	1	1	1	684	1	1	1	1	3
pink@ln	1.0	-5.76	0	0	214	20	4	1	1	1218	67	67	5	3	7
zos@	1.0	-5.03	4	4	142	25	1	1	1	684	43	6	1	1	4
kvil@n	1.0	-5.58	2	2	456	14	2	1	1	1218	861	46	5	1	6
g)r@n	1.0	-4.26	8	8	234	3	1	1	1	1218	861	70	4	1	5
pult	1.0	-4.13	8	8	214	14	2	1	1	508	34	5	2	2	4
as	1.0	-3.8	14	19	90	1	1	1	1	210	6	6	6	6	2
ar	1.0	-3.21	18	29	90	5	5	5	5	373	27	27	27	27	2
herezi	1.0	-8.64	0	0	207	36	11	1	1	95	4	1	1	1	6
hybrit	1.0	-6.42	2	2	207	18	3	2	2	508	35	3	1	1	6
h&rlekin	1.0	-9.89	0	0	207	39	9	1	1	1218	57	2	1	1	8
bork@	1.0	-5.51	2	2	263	23	6	1	1	684	27	6	1	1	5
zudet@ndoyj	1.0	-14.11	0	0	142	10	2	2	2	10	1	1	1	1	11
g@stad@	1.0	-6.54	0	0	234	72	15	5	1	684	68	16	1	1	7
bon=@	1.0	-5.21	0	1	263	23	4	1	1	684	29	8	1	1	5
ain|d@	1.0	-5.62	0	0	90	41	28	1	1	684	68	3	1	1	6
konfus	1.0	-5.56	0	0	456	86	29	5	1	210	40	3	1	1	6
slunt	1.0	-4.68	2	3	467	44	6	1	1	508	89	15	2	1	5
sn/rk@l	1.0	-6.0	0	0	467	23	1	1	1	286	162	16	2	1	7
nobilit)t	1.0	-8.81	0	0	89	17	2	1	1	508	10	8	5	2	9
kym@l	1.0	-5.13	4	4	456	11	1	1	1	286	162	11	2	1	5
bumz@n	1.0	-5.72	0	1	263	20	2	1	1	1218	861	27	2	1	6
m)r@	1.0	-4.43	6	7	247	6	2	1	1	684	33	2	1	1	4
al@	1.0	-4.13	6	8	90	3	1	1	1	684	67	7	7	7	3
taik	1.0	-5.03	6	8	173	19	4	1	1	111	26	4	1	1	4
resers@	1.0	-7.79	0	0	165	29	2	1	1	684	43	4	1	1	7
hyb@n	1.0	-3.79	8	9	207	18	3	1	1	1218	861	46	3	1	5
fat	1.0	-3.64	18	18	259	27	2	2	2	508	36	1	1	1	3
opulent	1.0	-7.15	0	0	60	14	2	1	1	508	89	24	3	2	7
zyntflut	1.0	-8.26	0	0	142	6	3	1	1	508	22	5	3	2	8
syt@rn	1.0	-4.48	0	2	467	11	2	2	1	1218	104	87	24	2	6
p&sab@l	1.0	-6.1	0	0	214	55	10	3	1	286	162	24	6	1	7
efoy	1.0	-6.53	0	0	93	2	1	1	1	11	9	1	1	1	4
d&ks	1.0	-4.96	2	3	118	9	1	1	1	210	19	3	1	1	4
kyrbis	1.0	-6.73	0	0	456	11	2	1	1	210	49	3	1	1	6
lym@l	1.0	-5.23	2	3	192	5	2	2	2	286	162	11	2	1	5
straux@ln	1.0	-6.84	0	0	467	130	35	12	3	1218	67	67	6	1	9
ter	1.0	-4.08	20	22	173	20	8	8	8	373	14	1	1	1	3
au@roks@	1.0	-8.91	0	0	90	22	2	1	1	684	43	7	2	1	8
spre	1.0	-4.8	0	0	467	66	14	2	2	23	3	1	1	1	4
m&gma	1.0	-5.0	0	1	247	53	6	1	1	78	16	2	1	1	5
sten@l	1.0	-5.69	0	0	467	130	18	1	1	286	162	6	3	1	6
&rboretum	1.0	-11.33	0	0	129	19	2	1	1	111	33	3	1	1	9
myr@	1.0	-4.3	18	20	247	15	3	1	1	684	33	5	1	1	4
myrp	1.0	-5.37	2	2	247	15	3	1	1	52	5	1	1	1	4
k|t@r	1.0	-4.72	4	4	456	4	1	1	1	373	230	68	1	1	5
gir@n	1.0	-4.4	6	6	234	11	2	1	1	1218	861	70	32	1	5
loykemi	1.0	-8.97	0	0	192	24	5	1	1	95	7	2	1	1	7
vinz@ln	1.0	-5.95	0	0	184	39	6	1	1	1218	67	67	3	1	7
metrik	1.0	-6.65	0	0	247	37	9	4	1	111	26	4	2	1	6
kuri@	1.0	-5.69	2	2	456	32	9	3	1	684	16	4	1	1	5
had@r	1.0	-4.52	6	7	207	37	1	1	1	373	230	32	4	1	5
buksir@n	1.0	-7.15	0	0	263	20	1	1	1	1218	861	70	32	1	8
flau	1.0	-4.7	6	8	259	40	3	1	1	23	17	4	1	1	4
baus@n	1.0	-5.12	8	9	263	20	6	2	1	1218	861	63	6	4	6
&ral	1.0	-5.33	0	0	129	19	1	1	1	286	36	3	1	1	4
gril@	1.0	-5.33	4	5	234	45	4	1	1	684	67	12	3	1	5
peg@l	1.0	-4.96	8	8	214	26	1	1	1	286	162	24	7	1	5
stelm&x@r	1.0	-8.33	0	0	467	130	18	3	1	373	230	7	1	1	9
klo	1.0	-3.9	4	8	456	49	7	7	7	44	6	1	1	1	3
preri	1.0	-6.9	0	0	214	37	5	1	1	95	18	3	1	1	5
trauma	1.0	-6.6	0	1	173	53	11	6	2	78	16	1	1	1	6
rump@ln	1.0	-5.5	2	2	165	19	4	1	1	1218	67	67	9	4	7
mot@l	1.0	-4.95	4	5	247	43	4	2	1	286	162	14	2	1	5
g&rb@	1.0	-4.89	6	6	234	25	9	1	1	684	33	8	3	1	5
kefir	1.0	-6.38	0	0	456	24	1	1	1	373	25	2	1	1	5
kr&b@ln	1.0	-5.83	2	2	456	54	11	2	2	1218	67	67	3	1	7
b@zud@ln	1.0	-6.85	0	0	263	36	3	2	1	1218	67	67	6	2	8
vi+@l	1.0	-4.97	2	2	184	39	1	1	1	286	162	3	2	1	5
+&nt	1.0	-4.15	14	14	27	4	2	1	1	508	89	25	1	1	4
|z@	1.0	-3.95	2	3	6	1	1	1	1	684	57	2	2	2	3
m/rz@r	1.0	-5.75	0	0	247	4	2	1	1	373	230	6	1	1	6
zir@n	1.0	-3.9	10	10	142	21	2	1	1	1218	861	70	32	3	5
stro=@n	1.0	-5.27	2	2	467	130	35	8	1	1218	861	49	2	1	7
moyt@rn	1.0	-6.01	0	0	247	43	1	1	1	1218	104	87	24	2	7
f&rm&=i	1.0	-8.8	0	0	259	22	4	1	1	95	1	1	1	1	7
konform	1.0	-7.11	0	0	456	86	29	5	1	111	15	4	3	1	7
zonor	1.0	-5.68	0	0	142	25	8	1	1	373	38	2	1	1	5
lud@r	1.0	-4.92	4	4	192	18	1	1	1	373	230	32	3	1	5
k&r@n	1.0	-3.81	10	13	456	88	15	2	1	1218	861	70	6	1	5
hornis@	1.0	-7.09	0	0	207	34	10	2	1	684	43	2	2	1	7
&nm&rs	1.0	-7.19	0	0	129	37	1	1	1	210	12	4	2	1	6
laist	1.0	-4.63	6	9	192	43	21	3	3	508	79	14	6	2	5
