word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
kar	237.2	-2.72	48	57	560	144	35	35	35	768	128	7	7	7	3
murir	234.74	-6.08	8	8	354	10	1	1	1	768	84	13	5	1	5
jer	223.77	-4.34	20	25	11	3	3	3	3	768	156	33	33	33	3
z@r	219.66	-4.72	12	14	103	10	1	1	1	768	1	1	1	1	3
f2	215.87	-3.86	28	28	273	3	3	3	3	24	1	1	1	1	2
fas)	212.6	-4.45	2	3	273	36	6	1	1	203	29	6	1	1	4
plyto	210.4	-6.23	2	2	534	37	3	1	1	245	26	1	1	1	5
afer	207.5	-4.84	8	8	331	9	2	1	1	768	156	6	1	1	4
pei	202.57	-4.24	18	20	534	77	3	3	3	304	2	1	1	1	3
sef	189.79	-4.8	18	19	529	75	1	1	1	59	5	1	1	1	3
s(men	186.01	-4.82	2	3	529	27	8	4	1	243	48	9	1	1	5
bj5to	184.96	-6.81	0	0	322	8	3	1	1	245	26	1	1	1	5
presk	181.81	-4.69	4	5	534	108	29	12	2	166	14	4	3	1	5
dabor	175.45	-6.67	2	3	252	11	1	1	1	768	56	6	4	1	5
bebe	173.82	-6.09	4	4	322	31	1	1	1	449	7	1	1	1	4
rwa	166.34	-4.08	24	29	225	1	1	1	1	203	47	13	13	13	3
sin)	166.14	-4.54	6	7	529	66	10	1	1	203	10	4	1	1	4
nymero	162.08	-8.14	0	0	93	4	1	1	1	245	30	7	1	1	6
b)swar	161.16	-6.71	0	0	322	6	1	1	1	768	128	49	6	1	6
byro	156.68	-6.82	4	4	322	13	2	1	1	245	30	1	1	1	4
parfwa	152.86	-6.27	0	1	534	113	49	3	1	203	47	2	1	1	6
bra	149.26	-4.04	18	20	322	55	8	8	8	203	22	2	2	2	3
syrtu	148.66	-7.02	0	0	529	42	6	1	1	55	6	2	1	1	5
sjel	142.22	-4.49	8	11	529	11	7	1	1	409	89	9	5	5	4
partu	141.94	-5.49	0	1	534	113	49	9	2	55	6	2	1	1	5
r@dr	141.31	-4.55	12	13	225	15	3	1	1	768	30	13	4	4	4
avi	139.22	-4.23	14	16	331	27	3	3	3	304	3	1	1	1	3
@t@dr	137.9	-5.8	4	5	96	25	1	1	1	768	30	13	4	1	5
suv@	135.54	-4.86	2	2	529	36	3	1	1	118	5	2	1	1	4
k)pr@dr	135.24	-6.58	0	0	560	108	21	5	1	768	30	13	4	3	7
gos	134.58	-4.29	22	24	155	14	1	1	1	339	36	1	1	1	3
aj9r	128.74	-4.76	4	4	331	5	2	1	1	768	74	8	1	1	4
opital	126.08	-6.58	0	0	140	17	1	1	1	409	76	9	3	2	6
swa	123.3	-3.54	28	33	529	8	5	5	5	203	47	5	5	5	3
ekip	118.0	-5.35	0	0	240	52	4	1	1	74	17	1	1	1	4
propo	115.21	-5.38	4	5	534	108	52	7	2	245	12	1	1	1	5
s(m5	114.34	-4.01	6	6	529	27	8	1	1	167	9	3	2	2	4
sekyrite	112.69	-8.54	0	0	529	75	8	2	1	449	53	16	5	1	8
vwajaz	112.19	-7.51	0	0	155	10	9	2	1	197	58	1	1	1	6
frik	108.99	-4.26	12	12	273	45	12	1	1	166	58	5	1	1	4
pje	108.57	-3.4	22	26	534	15	5	5	5	449	53	1	1	1	3
p2pl	105.65	-4.86	0	0	534	3	1	1	1	409	11	1	1	1	4
sil@s	105.53	-5.72	0	0	529	66	7	1	1	339	57	9	1	1	5
)t	103.26	-4.52	18	20	7	1	1	1	1	338	6	6	6	6	2
kolonel	102.86	-7.0	0	0	560	108	21	4	2	409	89	9	2	1	7
sort	102.12	-4.66	8	10	529	56	4	1	1	338	19	6	1	1	4
apr@dr	101.76	-6.61	0	1	331	35	8	2	1	768	30	13	4	3	6
sen	100.91	-3.44	42	46	529	75	6	6	6	243	48	3	3	3	3
mesaz	99.7	-5.93	2	2	354	60	6	1	1	197	58	3	1	1	5
mej9r	99.59	-5.31	2	2	354	60	2	1	1	768	74	8	1	1	5
mer	99.49	-3.14	34	42	354	60	12	12	12	768	156	6	6	6	3
rev	99.39	-3.9	12	17	225	66	8	8	8	56	12	4	4	4	3
efe	99.17	-4.17	10	12	240	9	3	3	3	449	12	3	3	3	3
@vwa	98.92	-4.42	2	3	96	9	1	1	1	203	47	4	1	1	4
m@k	98.77	-4.95	16	17	354	13	1	1	1	166	5	1	1	1	3
frwa	98.43	-3.94	6	9	273	45	1	1	1	203	47	13	2	2	4
kado	98.09	-4.14	20	22	560	144	8	1	1	245	15	3	1	1	4
futr	97.99	-4.68	10	13	273	21	6	1	1	768	62	4	1	1	4
bordel	97.84	-6.97	0	0	322	25	3	1	1	409	89	5	1	1	6
dut	97.51	-4.28	20	22	252	9	2	2	2	338	14	1	1	1	3
okype	97.22	-6.74	0	0	140	10	3	1	1	449	17	1	1	1	5
9j	97.13	-3.6	6	11	5	2	2	2	2	107	13	13	13	13	2
finir	96.48	-5.71	0	0	273	30	4	1	1	768	84	8	1	1	5
k)t	96.47	-3.11	10	15	560	108	24	24	24	338	6	3	3	3	3
kart	96.11	-3.99	12	16	560	144	35	6	6	338	19	5	2	2	4
parej	95.18	-5.19	0	1	534	113	49	2	1	107	19	5	2	2	5
