word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
tal@	1.0	-3.97	34	37	273	42	4	1	1	1727	266	20	2	2	4
sxlf	1.0	-4.04	10	10	786	166	8	2	2	110	16	1	1	1	4
sx}rft	1.0	-5.67	0	0	786	166	9	3	1	581	13	1	1	1	6
til	1.0	-3.55	40	45	273	23	2	2	2	415	43	5	5	5	3
sl}n@l	1.0	-5.55	2	2	786	69	3	1	1	415	204	14	3	2	6
kobalt	1.0	-6.74	0	0	602	85	2	1	1	581	50	5	1	1	6
fl)r	1.0	-4.35	2	3	139	34	1	1	1	414	6	1	1	1	4
pok@r@	1.0	-4.85	2	3	370	36	4	3	2	1727	214	109	16	1	6
xalei	1.0	-6.01	0	0	221	31	8	1	1	121	32	5	1	1	5
snars	1.0	-5.3	2	3	786	43	6	2	1	333	23	11	1	1	5
gril	1.0	-5.34	8	8	7	2	2	1	1	415	43	5	1	1	4
grin	1.0	-5.02	4	5	7	2	2	1	1	282	75	6	1	1	4
radeis	1.0	-6.53	0	0	230	52	8	1	1	333	34	12	2	2	6
mesenas	1.0	-8.77	0	0	254	47	5	1	1	333	38	3	1	1	7
dar@	1.0	-4.12	28	30	224	25	5	1	1	1727	214	16	1	1	4
hoj@	1.0	-3.86	28	29	214	45	2	1	1	1727	86	10	1	1	4
flotilj@	1.0	-8.51	0	0	139	34	4	1	1	1727	86	2	1	1	8
spek@	1.0	-4.04	12	14	786	111	25	3	1	1727	162	19	2	1	5
toto	1.0	-5.48	2	3	273	37	4	1	1	83	12	2	1	1	4
kmw	1.0	-3.76	30	34	602	7	2	2	2	44	22	1	1	1	3
karwats	1.0	-7.15	0	0	602	135	24	2	1	333	49	5	1	1	7
trub@l@	1.0	-5.13	0	1	273	56	5	3	2	1727	266	163	17	1	7
bl}t	1.0	-4.2	10	11	372	61	8	2	2	581	12	1	1	1	4
knext@	1.0	-4.99	0	1	602	52	13	2	2	1727	176	24	6	1	6
kl|m@	1.0	-5.01	6	6	602	103	4	1	1	1727	80	1	1	1	5
feil	1.0	-4.91	22	24	139	11	3	1	1	415	43	15	1	1	4
rast@r	1.0	-5.24	2	3	230	52	4	1	1	414	228	67	26	3	6
klit@	1.0	-4.36	8	9	602	103	18	3	1	1727	176	26	2	1	5
libel	1.0	-6.21	0	0	217	42	2	1	1	415	51	5	1	1	5
kalif	1.0	-5.23	0	2	602	135	15	3	1	110	17	4	1	1	5
manez@	1.0	-6.22	0	0	254	80	12	1	1	1727	71	9	1	1	6
wadi	1.0	-5.72	2	2	183	48	2	1	1	121	6	1	1	1	4
lmrir	1.0	-7.55	0	0	217	5	1	1	1	414	39	1	1	1	5
hip	1.0	-3.81	28	30	214	19	2	2	2	148	23	1	1	1	3
k}p	1.0	-4.02	24	26	602	12	1	1	1	148	7	1	1	1	3
lor	1.0	-4.2	44	47	217	26	2	2	2	414	31	2	2	2	3
trip@	1.0	-4.7	6	8	273	56	7	2	1	1727	105	21	1	1	5
n}k	1.0	-4.45	16	17	92	6	1	1	1	249	11	1	1	1	3
k}x	1.0	-3.87	12	13	602	12	2	2	2	81	7	1	1	1	3
laks	1.0	-4.5	12	13	217	45	5	1	1	333	22	4	1	1	4
bliv@	1.0	-5.2	4	5	372	61	9	1	1	1727	64	9	2	1	5
ragu	1.0	-5.63	0	0	230	52	1	1	1	20	1	1	1	1	4
rust	1.0	-4.42	12	15	230	18	3	2	2	581	74	5	1	1	4
knuj	1.0	-4.57	2	3	602	52	3	2	2	29	4	1	1	1	4
kllst@r	1.0	-5.58	4	6	602	103	7	3	2	414	228	67	26	4	7
ak	1.0	-3.11	22	38	149	13	13	13	13	249	38	38	38	38	2
xoz@r	1.0	-5.77	0	0	221	20	1	1	1	414	228	3	1	1	5
knut	1.0	-4.36	4	4	602	52	3	1	1	581	19	2	1	1	4
nerf	1.0	-4.78	6	9	92	21	3	1	1	110	11	6	1	1	4
prak@	1.0	-4.38	20	23	370	63	10	2	1	1727	162	25	5	1	5
k}l	1.0	-3.97	34	36	602	12	2	2	2	415	13	1	1	1	3
alg@bra	1.0	-8.56	0	0	149	18	3	2	1	134	15	3	1	1	7
kasteid@	1.0	-6.76	0	0	602	135	8	5	2	1727	138	23	16	1	8
was@m	1.0	-5.43	0	1	183	48	3	2	1	162	19	6	2	1	5
sardin@	1.0	-7.11	0	1	786	41	5	2	2	1727	118	37	2	1	7
ru	1.0	-3.6	18	23	230	18	18	18	18	20	3	3	3	3	2
pjes	1.0	-5.73	0	1	370	1	1	1	1	333	23	2	1	1	4
kobra	1.0	-6.63	0	0	602	85	2	1	1	134	15	3	1	1	5
alf	1.0	-4.12	12	17	149	18	1	1	1	110	16	5	5	5	3
x}m	1.0	-4.21	8	8	221	8	1	1	1	162	23	1	1	1	3
ser@nad@	1.0	-8.01	0	0	786	41	11	3	1	1727	138	26	5	3	8
vilt	1.0	-4.53	16	16	204	23	3	1	1	581	50	6	1	1	4
d}n@	1.0	-3.78	14	16	224	15	4	1	1	1727	118	4	1	1	4
alt	1.0	-3.96	32	37	149	18	2	2	2	581	50	5	5	5	3
disk	1.0	-5.52	0	2	224	26	4	1	1	249	4	2	1	1	4
sermun	1.0	-6.44	0	0	786	41	11	1	1	282	27	2	1	1	6
keld@r@	1.0	-5.27	0	1	602	42	6	2	2	1727	214	109	16	3	7
ti	1.0	-3.44	20	28	273	23	23	23	23	121	5	5	5	5	2
flem@	1.0	-5.05	2	2	139	34	4	1	1	1727	80	9	2	1	5
slis@	1.0	-4.54	4	5	786	69	11	1	1	1727	107	19	3	1	5
fas	1.0	-3.95	26	27	139	15	2	2	2	333	38	1	1	1	3
baton	1.0	-5.75	6	6	372	71	5	1	1	282	67	8	2	1	5
rl	1.0	-3.82	22	34	230	12	12	12	12	415	3	3	3	3	2
sid@r	1.0	-4.5	4	6	786	34	2	2	2	414	228	41	3	1	5
mof@l@	1.0	-4.77	4	4	254	52	2	1	1	1727	266	163	9	3	6
snip	1.0	-4.48	16	17	786	43	4	1	1	148	23	3	1	1	4
sant	1.0	-4.11	26	29	786	41	4	1	1	581	95	31	1	1	4
kavija	1.0	-5.93	0	1	602	135	2	2	2	134	23	19	3	1	6
kip@r@	1.0	-5.01	2	3	602	30	3	2	1	1727	214	109	9	2	6
basalt	1.0	-6.35	0	0	372	71	6	1	1	581	50	5	1	1	6
es@lon	1.0	-8.04	0	0	102	8	1	1	1	282	67	6	1	1	6
bejo	1.0	-5.05	0	0	372	43	1	1	1	83	13	2	1	1	4
korife	1.0	-7.07	0	0	602	85	16	3	1	45	4	1	1	1	6
zero	1.0	-5.91	2	3	176	41	4	1	1	83	8	3	1	1	4
m}nt@	1.0	-5.2	0	1	254	15	2	2	1	1727	176	14	1	1	5
spat@l	1.0	-5.3	0	1	786	111	15	3	2	415	204	22	2	1	6
abe	1.0	-5.46	2	3	149	2	1	1	1	45	3	2	2	2	3
b}lk@	1.0	-4.66	4	6	372	16	6	2	1	1727	162	12	2	1	5
kwint	1.0	-4.65	0	2	602	27	5	1	1	581	95	18	2	1	5
xep	1.0	-3.89	30	35	221	32	1	1	1	148	21	2	2	2	3
fok	1.0	-3.6	30	33	139	23	3	3	3	249	28	1	1	1	3
stret	1.0	-4.46	14	16	786	177	50	14	1	581	55	11	2	1	5
xrmw@	1.0	-4.63	10	12	221	68	2	2	1	1727	35	19	6	1	5
minor	1.0	-6.06	0	0	254	29	9	1	1	414	31	4	1	1	5
p)r	1.0	-4.08	14	15	370	1	1	1	1	414	6	1	1	1	3
kamijon	1.0	-6.69	0	0	602	135	15	2	1	282	67	12	7	1	7
xems	1.0	-5.3	0	0	221	32	2	1	1	333	6	1	1	1	4
vif	1.0	-4.21	14	15	204	23	1	1	1	110	17	1	1	1	3
w}rm	1.0	-4.75	4	5	183	4	3	2	2	162	16	1	1	1	4
herm@lein	1.0	-8.45	0	0	214	51	9	1	1	282	75	46	7	3	9
