word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
bilj@d	46.0	-6.32	2	2	361	34	6	1	1	327	21	3	2	2	6
s@lisit	46.0	-7.41	0	0	784	15	3	1	1	751	163	8	2	1	7
k@nkqkt	46.0	-8.61	0	0	535	64	27	1	1	751	35	1	1	1	7
b{ndit	46.0	-5.65	0	1	361	33	8	3	2	751	163	6	3	1	6
w#ft	46.0	-4.48	10	11	138	13	1	1	1	751	25	8	1	1	4
flvks	46.0	-5.14	4	5	267	59	5	1	1	407	46	2	1	1	5
k@det	46.0	-6.2	0	0	535	64	1	1	1	751	30	2	1	1	5
stvb	46.0	-4.14	12	15	784	130	13	3	3	76	16	2	1	1	4
b5l@r	46.0	-5.72	2	2	361	13	4	1	1	332	261	8	2	1	5
k{kt@s	46.0	-6.46	0	0	535	67	2	1	1	407	74	9	1	1	6
k{ng@ru	46.0	-7.78	0	0	535	67	14	1	1	86	11	1	1	1	7
k{t@r{kt	46.0	-7.53	0	0	535	67	4	1	1	751	35	13	3	1	8
f1	46.0	-3.57	32	43	267	13	13	13	13	58	2	2	2	2	2
fl{k	46.0	-4.03	26	29	267	59	12	2	2	298	24	5	1	1	4
pr$n	46.0	-4.96	10	11	400	68	1	1	1	484	19	2	1	1	4
p{n@si@	46.0	-7.93	0	0	400	51	11	3	1	181	13	1	1	1	7
hvsk	46.0	-4.81	14	15	199	25	3	1	1	298	22	5	1	1	4
kvnt	46.0	-4.51	16	17	535	25	1	1	1	751	106	12	1	1	4
i@n	46.0	-4.69	2	4	96	3	1	1	1	484	106	6	6	6	3
k@_5l	46.0	-5.85	0	0	535	64	1	1	1	278	27	1	1	1	5
bl#nj	46.0	-5.11	4	4	361	45	8	1	1	109	32	4	2	1	5
k5br@	46.0	-6.49	0	0	535	21	2	1	1	181	27	5	1	1	5
vent	46.0	-3.77	20	22	115	17	6	2	2	751	106	16	2	2	4
sin@m@n	46.0	-6.77	0	1	784	85	17	3	2	484	106	15	2	1	7
mqp	46.0	-3.78	28	30	280	20	1	1	1	540	17	1	1	1	3
d3k	46.0	-4.06	30	31	233	4	1	1	1	298	12	1	1	1	3
vmp#i@r	46.0	-6.77	2	3	115	2	1	1	1	332	261	53	20	5	7
hid	46.0	-3.55	48	52	199	22	3	3	3	327	74	1	1	1	3
m{k	46.0	-3.52	50	51	280	45	4	4	4	298	24	2	2	2	3
limb5	45.0	-5.89	0	0	192	45	9	1	1	166	6	3	1	1	5
kl{m	45.0	-4.56	16	19	535	51	10	2	2	212	17	3	1	1	4
k#dig@n	45.0	-7.12	0	0	535	36	3	1	1	484	106	9	2	1	7
likju@r	45.0	-5.78	2	2	192	45	4	1	1	332	261	16	6	3	7
kl{nk	45.0	-4.45	10	13	535	51	10	2	1	298	45	16	5	1	5
v{mp#i@r	45.0	-7.04	0	1	115	11	1	1	1	332	261	53	20	5	8
k@mjut	45.0	-5.71	2	2	535	64	14	2	2	751	49	13	2	1	6
f{l@s	45.0	-4.92	0	0	267	12	2	1	1	407	74	6	1	1	5
k{z@m	45.0	-4.59	0	0	535	67	1	1	1	212	48	8	4	2	5
h5	45.0	-3.78	32	37	199	8	8	8	8	166	1	1	1	1	2
r5v	45.0	-4.1	24	27	197	20	1	1	1	68	7	3	3	3	3
kr5n@	45.0	-5.21	0	2	535	79	7	2	1	181	22	2	2	1	5
d#n	45.0	-4.43	30	33	233	26	2	2	2	484	5	1	1	1	3
kqzmqs	45.0	-6.65	0	0	535	61	1	1	1	407	27	3	1	1	6
1prikqt	45.0	-9.44	0	0	24	4	2	1	1	751	26	2	1	1	7
d#ik	45.0	-4.28	14	17	233	26	15	2	2	298	59	6	1	1	4
l$r	45.0	-3.89	32	35	192	5	1	1	1	332	32	2	2	2	3
m{m	45.0	-3.76	38	39	280	45	5	5	5	212	17	1	1	1	3
skrupp	44.0	-5.69	0	0	784	97	22	2	1	540	27	2	1	1	6
smvg	44.0	-4.36	8	10	784	18	4	2	2	80	17	2	1	1	4
miri@d	44.0	-7.11	0	0	280	42	2	1	1	327	21	4	2	1	6
fvz	44.0	-4.38	20	20	267	12	1	1	1	104	3	1	1	1	3
n1p#m	44.0	-6.98	0	0	108	9	2	1	1	212	11	2	1	1	5
f1bp	44.0	-4.18	14	15	267	13	1	1	1	540	64	9	1	1	4
p#dh	44.0	-4.63	4	4	400	37	2	1	1	59	7	2	1	1	4
@sw1_	44.0	-6.91	0	0	75	12	1	1	1	83	9	2	1	1	5
miment5	44.0	-8.04	0	0	280	42	2	1	1	166	14	2	1	1	7
kvl	44.0	-3.76	36	38	535	25	4	4	4	278	6	2	2	2	3
ke@n	44.0	-4.86	2	2	535	10	2	1	1	484	106	1	1	1	4
dvkt	44.0	-4.63	2	4	233	22	3	1	1	751	35	2	2	2	4
s#din	44.0	-5.95	0	1	784	35	2	1	1	484	158	3	1	1	5
t#it@n	44.0	-6.05	0	0	323	24	12	3	1	484	106	13	1	1	6
pvnt	44.0	-3.97	18	19	400	17	4	1	1	751	106	12	1	1	4
r{nd	44.0	-4.04	14	17	197	24	6	2	2	327	67	12	4	4	4
k1l	44.0	-3.55	54	58	535	15	2	2	2	278	26	2	2	2	3
g{f	44.0	-4.42	12	12	204	21	1	1	1	75	3	1	1	1	3
_#i@r5	44.0	-6.16	4	4	79	6	3	2	1	166	27	7	5	3	6
kr5m	44.0	-4.72	10	13	535	79	7	1	1	212	10	2	1	1	4
p1t@nt	44.0	-5.94	2	2	400	17	4	2	1	751	106	29	2	1	6
p{l1	44.0	-4.9	6	8	400	51	7	1	1	58	11	3	1	1	4
sqvrin	44.0	-6.08	0	0	784	23	1	1	1	484	158	19	1	1	6
kr{nk	44.0	-4.59	6	8	535	79	9	1	1	298	45	16	4	1	5
h#iv	44.0	-4.13	16	18	199	34	17	1	1	68	25	12	1	1	4
sl{n	44.0	-4.19	24	24	784	55	8	1	1	484	27	4	1	1	4
gr@fiti	44.0	-8.83	0	0	204	58	1	1	1	195	16	2	1	1	7
sp$r	44.0	-4.71	14	16	784	80	3	1	1	332	32	2	1	1	4
itqs	44.0	-6.76	0	2	96	3	1	1	1	407	27	5	1	1	4
tim@ti	44.0	-7.23	0	0	323	30	3	1	1	195	16	1	1	1	6
sk3mis	44.0	-6.11	0	0	784	97	3	1	1	407	61	4	1	1	6
sp3n	44.0	-4.85	16	16	784	80	4	1	1	484	10	1	1	1	4
{ntiks	43.0	-6.31	0	1	85	17	6	3	2	407	46	9	2	1	6
instil	43.0	-7.05	2	2	96	34	9	3	2	278	68	4	2	1	6
pr#uis	43.0	-6.64	0	1	400	68	12	4	1	407	61	1	1	1	6
g$z	43.0	-3.89	18	18	204	7	1	1	1	104	5	1	1	1	3
{b@t	43.0	-4.9	2	2	85	3	1	1	1	751	43	4	1	1	4
pqs	43.0	-3.48	36	39	400	24	2	2	2	407	27	1	1	1	3
tenit	43.0	-4.82	6	7	323	30	10	2	1	751	163	15	3	1	5
hvb	43.0	-3.67	32	32	199	25	2	2	2	76	16	1	1	1	3
winkp	43.0	-4.85	4	6	138	37	8	2	1	540	39	9	6	2	5
skr#ib	43.0	-6.05	0	0	784	97	22	2	1	76	11	4	3	1	6
pvls	43.0	-4.48	4	5	400	17	2	1	1	407	8	4	2	2	4
p{r@sql	43.0	-7.24	0	0	400	51	13	11	3	278	9	1	1	1	7
rub#b	43.0	-6.21	0	0	197	16	4	1	1	76	4	2	1	1	5
h3s	43.0	-3.79	28	28	199	11	2	2	2	407	7	1	1	1	3
b1b	43.0	-4.65	18	21	361	17	3	3	3	76	1	1	1	1	3
