lang,length,lex,cor.mp.f,cor.prob.f,cor.prob.mp,cor.mp.f.p,cor.prob.f.p,cor.prob.mp.p,cor.mp.f.lower,cor.prob.f.lower,cor.mp.f.upper,cor.prob.f.upper,mu.mp.f,mu.prob.f,var.mp.f,var.prob.f,z.mp.f,z.prob.f,p.mp.f,p.prob.f,sig.mp.f,sig.prob.f
am,6,-1,0.348150266434238,0.316040937662892,0.452277566874378,6.60018582382546e-60,4.00830793733822e-49,1.16895120008232e-104,0.309665264405637,0.276677323605754,0.385496464821866,0.354345732216232,0.00747445916649742,0.0138062508866351,0.0222684836908419,0.0212707908059766,15.2985632967837,14.2089069246705,7.81630724072343e-53,8.06749221224884e-46,*,*
am,6,-1,0.348150266434238,0.316040937662892,0.452277566874378,6.60018582382546e-60,4.00830793733822e-49,1.16895120008232e-104,0.309665264405637,0.276677323605754,0.385496464821866,0.354345732216232,0.00747445916649742,0.0138062508866351,0.0222684836908419,0.0212707908059766,15.2985632967837,14.2089069246705,7.81630724072343e-53,8.06749221224884e-46,*,*
am,7,-1,0.311326686735435,0.201220170381706,0.352577488820711,6.14382812380998e-18,3.91085798859076e-08,7.03731859464212e-23,0.244422545963879,0.130710239719588,0.375280685681486,0.269704774568525,0.0120088675174862,0.0236945809795953,0.03686185593403,0.0345040402011766,8.1199877660426,5.14506673325916,4.66230676385592e-16,2.67425729010796e-07,*,*
am,7,-1,0.311326686735435,0.201220170381706,0.352577488820711,6.14382812380998e-18,3.91085798859076e-08,7.03731859464212e-23,0.244422545963879,0.130710239719588,0.375280685681486,0.269704774568525,0.0120088675174862,0.0236945809795953,0.03686185593403,0.0345040402011766,8.1199877660426,5.14506673325916,4.66230676385592e-16,2.67425729010796e-07,*,*
an,3,-1,0.250633177320576,0.291078631031906,0.563175650091969,4.44756967949488e-09,7.21951672747573e-12,6.27103615692176e-46,0.169306799708074,0.211373784409231,0.328569434531291,0.366937720009609,0.0119331572749993,0.00441182441192911,0.041988240494744,0.0431712272037233,5.68492552278909,6.64022834623643,1.30869679442507e-08,3.13197562546329e-11,*,*
an,3,-1,0.250633177320576,0.291078631031906,0.563175650091969,4.44756967949488e-09,7.21951672747573e-12,6.27103615692176e-46,0.169306799708074,0.211373784409231,0.328569434531291,0.366937720009609,0.0119331572749993,0.00441182441192911,0.041988240494744,0.0431712272037233,5.68492552278909,6.64022834623643,1.30869679442507e-08,3.13197562546329e-11,*,*
an,4,-1,0.128264032927136,0.239088534502058,0.553216555480099,2.04524038436775e-06,3.70015748626565e-19,4.95737781832117e-110,0.0756630229586637,0.188364176620134,0.18015315827431,0.288540696116547,0.00214564450854501,-0.000239604817196526,0.0280191602303487,0.0277293240738723,4.50114804946892,8.63086812652455,6.75874064430247e-06,6.08880527788279e-18,*,*
an,4,-1,0.128264032927136,0.239088534502058,0.553216555480099,2.04524038436775e-06,3.70015748626565e-19,4.95737781832117e-110,0.0756630229586637,0.188364176620134,0.18015315827431,0.288540696116547,0.00214564450854501,-0.000239604817196526,0.0280191602303487,0.0277293240738723,4.50114804946892,8.63086812652455,6.75874064430247e-06,6.08880527788279e-18,*,*
an,5,-1,0.179033002428172,0.236249603911624,0.563276587242871,1.30708223335496e-19,2.49777520441436e-33,3.93914195191082e-211,0.14098687670202,0.199053778480251,0.216551093288764,0.272765721519487,0.00307078810046208,0.00281346042345763,0.0190829871663984,0.0194536267666844,9.2208946530943,11.9996207539019,2.94631535355597e-20,3.569281478269e-33,*,*
an,5,-1,0.179033002428172,0.236249603911624,0.563276587242871,1.30708223335496e-19,2.49777520441436e-33,3.93914195191082e-211,0.14098687670202,0.199053778480251,0.216551093288764,0.272765721519487,0.00307078810046208,0.00281346042345763,0.0190829871663984,0.0194536267666844,9.2208946530943,11.9996207539019,2.94631535355597e-20,3.569281478269e-33,*,*
