lang,length,cor.mp.f,cor.prob.f,cor.prob.mp,cor.mp.f.p,cor.prob.f.p,cor.prob.mp.p,cor.mp.f.lower,cor.prob.f.lower,cor.mp.f.upper,cor.prob.f.upper
fr,4,0.201660286595768,0.282471682855814,0.573950777378161,4.88781441105666e-14,1.50609409737214e-26,7.35752651709504e-121,0.15030442569689,0.232996174674302,0.251930762180107,0.330488700781798
fr,5,0.210926679177959,0.283426070855928,0.541871910196059,2.57414745211426e-23,1.69088571668837e-41,2.11146752151927e-166,0.170425900688019,0.244324278449023,0.250715988514901,0.321607650010151
fr,6,0.177070548626081,0.238331937906028,0.451776726715906,2.97157686524859e-22,1.83105935024962e-39,1.06607603134128e-148,0.14193064397347,0.204039011321034,0.211764726821618,0.272040671414031
fr,7,0.128799895018205,0.218338931748406,0.319664191607968,3.94596805738281e-13,2.57326854610135e-35,8.69921595385017e-76,0.0943056501100789,0.184829698146937,0.162985254499429,0.251341079752616
fy,3,0.301856453200282,0.328198324456287,0.615300432946858,1.50168802623185e-16,1.922414288699e-19,8.31264494840783e-76,0.23375674514153,0.26120994798368,0.367009029997765,0.392040617231022
fy,4,0.19990180873447,0.321770643677658,0.549579583965017,1.6574153518919e-15,7.35135934725597e-39,1.16534017101405e-123,0.151746131333583,0.27652735605591,0.247110748875441,0.365590714822336
fy,5,0.200083757690837,0.297036455986273,0.552312471825214,1.44645245314181e-22,6.73229919083997e-49,4.36658428990466e-187,0.160875384097306,0.259648569881585,0.23866160588616,0.333535215138623
fy,6,0.195352300560698,0.273774575096657,0.524589368217404,6.30696773406307e-26,3.30341436467657e-50,1.86333803589832e-201,0.159794607084845,0.239477520337553,0.230403719579649,0.307389221312012
fy,7,0.1324695116955,0.20164809978072,0.401493195838687,9.94650449938372e-13,9.26716294631508e-28,8.05354060519599e-112,0.0963799348924367,0.166317807206778,0.168211238515642,0.23646132871128
ga,3,0.182692617146705,0.242529102782552,0.579172804221751,9.0566913802078e-07,5.27735899041638e-11,4.19265294050436e-65,0.110754510456407,0.172171259803202,0.252726316882998,0.310425006007141
ga,4,0.165536927654026,0.273069119461651,0.556379314525378,1.83444620546621e-10,1.82309312884177e-26,7.84854322938696e-120,0.115299773209611,0.225001135759218,0.214929430150043,0.319811171436575
ga,5,0.171408344404896,0.280044945561852,0.541461504208111,9.45217788931349e-17,4.77236636486168e-43,8.11507362732388e-177,0.131622519588563,0.24210048817719,0.210642841858494,0.31713409530087
ga,6,0.173900099235567,0.293293079955237,0.467935643822881,1.07919261932516e-20,2.25694902164703e-57,2.63048476312641e-154,0.137976403636328,0.259285271284702,0.209366845061252,0.326574488581185
ga,7,0.13981383458454,0.23940018718861,0.328836554033769,4.26371433022548e-14,5.64057200629058e-39,6.8634656494444e-74,0.103894597643426,0.204738007701123,0.175368836609978,0.273462687321017
gd,3,0.297510942984053,0.364759219422287,0.651247532875217,3.04380548617337e-17,1.0490659195347e-25,2.34905477891002e-94,0.231816715659298,0.301970577024945,0.360503700153186,0.424396896123922
gd,4,0.244846110601712,0.289740799764142,0.675345641239045,1.01054972418604e-24,2.27761413267369e-34,9.81315701356183e-228,0.199721567718547,0.245673349147032,0.288934301767142,0.332613120076288
gd,5,0.273444080935117,0.291306538742858,0.621500500779837,3.47671050000268e-44,3.61209993606071e-50,1.49628473823844e-267,0.236809199050704,0.255045443236559,0.3093024739815,0.326749428554158
gd,6,0.206776841527315,0.257205218723938,0.528873432496318,1.30134325114568e-29,2.0586271076847e-45,1.566201946e-210,0.17182202859052,0.223041894936881,0.241211641598492,0.290737500922139
gd,7,0.182696982259638,0.221676227056219,0.460596683530097,6.83133014809646e-24,1.1657078006681e-34,3.37538128758906e-157,0.147848068896894,0.187347333406785,0.217092789916929,0.255464296791109
gl,3,0.265938244283224,0.260248545233544,0.604502396174512,1.06468569296078e-10,2.71399149215429e-10,3.53383784253624e-58,0.18798696590221,0.182083437928094,0.340560202522738,0.335145131929507
gl,4,0.162494529388302,0.255865367333365,0.550092701275579,6.87585511964699e-09,3.07491598153185e-20,2.48569987311498e-100,0.108175211910006,0.203452410704914,0.215846472193385,0.306816027678831
gl,5,0.161985923240036,0.227259956254759,0.552518908791956,5.67737877723954e-15,2.72037049879188e-28,9.06819616904148e-184,0.121894819017828,0.188109707634448,0.201549315869833,0.265689133031199
gl,6,0.130040531802742,0.208945010942828,0.440305442978002,5.72403873800491e-12,7.92682090640387e-29,2.46891129861405e-132,0.0933357837936485,0.173133409502001,0.16639228904244,0.244204849050431
gl,7,0.151528926290549,0.217795348215648,0.354788926797124,5.59195204374534e-17,9.17573648185438e-34,2.60695434989941e-90,0.11649656877969,0.183559168371142,0.186184702592946,0.251503802622169
gu,3,0.401345241690119,0.388960855060044,0.436518874992545,1.20101398981844e-221,3.78738381075239e-207,2.4216549067242e-266,0.379439054489312,0.366806259275927,0.422801699415788,0.410674516681238
gu,4,0.17038261354419,0.240709992440771,0.539589438341446,8.52416764522652e-24,1.74722108725827e-46,6.25651421325824e-259,0.137728615557297,0.208953173046827,0.202666635524264,0.271959670858749
gu,5,0.0782819301466365,0.147287887857455,0.485144085899604,0.000509174581452914,5.17912551823055e-11,1.00944173432982e-116,0.0342143527342075,0.103777352728456,0.122045702488464,0.190235747315644
gu,6,0.0371198795737735,0.16755092776044,0.419920180723287,0.134248442433388,1.00717644290087e-11,1.36701998006739e-70,-0.0114683237205149,0.119959574962727,0.0855332064928149,0.214373980091486
gu,7,0.0207091548051566,0.157582766190302,0.291544140649461,0.431502344219356,1.71530829214026e-09,1.04799466205362e-29,-0.0308918071508007,0.106883352518962,0.0722000219958848,0.207464832264529
he,3,0.133444095467359,0.28486127794251,0.484570323497397,8.91779589029653e-08,3.86791134243518e-31,1.24662303991411e-94,0.0849023774510667,0.239107478052848,0.181353879050847,0.329352895087095
