lang,length,cor.mp.f,cor.prob.f,cor.prob.mp,cor.mp.f.p,cor.prob.f.p,cor.prob.mp.p,cor.mp.f.lower,cor.prob.f.lower,cor.mp.f.upper,cor.prob.f.upper,mu.mp.f,mu.prob.f,mu.prob.mp,var.mp.f,var.prob.f,var.prob.mp,z.mp.f,z.prob.f,z.prob.mp,p.mp.f,p.prob.f,p.prob.mp,sig.mp.f,sig.prob.f,sig.prob.mp
tg,4,0.149743062144125,0.22802873002285,0.623795087544453,8.6533802796118e-13,5.20938404269218e-28,1.24454459901996e-243,0.10915792356686,0.188543059190246,0.189829783211633,0.266778334954738,0.000941753713958873,0.00119671551816549,0.747277709140751,0.0435273870767919,0.0441075925770478,0.0192343714082641,3.41856744508114,5.14269769107101,-6.41989379196677,0.000629517141486617,2.70821221406704e-07,1.36369453364249e-10,*,*,*
tg,5,0.227488731618687,0.261606767565788,0.470514328064212,3.68064072773885e-40,5.45822754733312e-53,3.16592540834523e-182,0.194950051367856,0.229603224584488,0.259527216743829,0.293045209224869,-0.00073034553828317,-0.00109936001746147,0.237754392764478,0.0593498416529826,0.0574586907015838,0.060916567145558,3.84531905731717,4.57208690931776,3.82096277263233,0.000120395679637461,4.82890560451041e-06,0.000132931718824921,*,*,*
tg,6,0.253746134238443,0.248729937733454,0.350000276594465,3.76732201624638e-53,4.4887161962572e-51,1.43927878743594e-102,0.222668110075871,0.217573381479512,0.284308953433614,0.279380114754833,-0.000844783434351158,-0.00129475966834008,0.66344166719721,0.027803357991588,0.0281903788613616,0.0137499949132683,9.15684061435391,8.86914995472032,-22.7957459315338,5.34389177957185e-20,7.37063679363013e-19,5.05303423839542e-115,*,*,*
tg,7,0.263781367458268,0.239546117419608,0.268092571030446,1.18873303318638e-50,8.02397681922749e-42,2.53113449553418e-52,0.23076775454654,0.206128416190965,0.296188346079072,0.272405705507845,0.000684292210468822,-0.00116149219618812,0.172242054908187,0.0631523294443204,0.0694934242252872,0.082072714386723,4.16607079363184,3.46374656737965,1.16787310908977,3.09894503945729e-05,0.000532708135702724,0.242857952550055,*,*,n.s
th,3,0.46097073904859,0.527091537928201,0.435425690561585,6.47077164654727e-200,1.26640966807401e-271,3.54021285110153e-176,0.435598836772818,0.503774816526003,0.485610755200334,0.549640768671918,-0.00054012583287165,-5.15038458233907e-05,0.79740130137523,0.0617004346623154,0.0627303391169511,0.0209117306758279,7.47986407887232,8.40331885965493,-17.3096916952961,7.43995195163693e-14,4.34034090011305e-17,3.97537834830696e-67,*,*,*
th,4,0.325879603285929,0.399388116950639,0.561545395608818,1.17572330478637e-114,2.30965936786587e-176,0,0.299849272511429,0.374857923951249,0.351425049016201,0.423359471130623,0.000848091506772878,0.000366625808569831,0.375197458034979,0.0559084226725047,0.0573762193840144,0.0498573352512479,5.81364124119717,6.95447513666683,3.73762329323798,6.11283487199769e-09,3.53877041966389e-12,0.000185768000205229,*,*,*
th,5,0.134895942831035,0.247808604308204,0.557917383802858,1.64456267482924e-17,2.23151581811221e-56,3.16202013338398e-322,0.104154900244866,0.218316303372043,0.16537947878104,0.27684865781279,0.000709936030199617,0.000755705401647962,0.285142736014129,0.0640263457296313,0.0617942407045006,0.066964028735818,2.09579361857496,3.99799230624032,4.07345037236127,0.0361005026954708,6.38820270989711e-05,4.63217255920908e-05,n.s,*,*
th,6,0.102825584673901,0.160883699044254,0.474780136340161,3.5394910890739e-07,1.26036968436558e-15,1.56521542712526e-137,0.063418624541196,0.121996604799044,0.141912396906807,0.199277620470933,-0.000448457209707053,-0.00027850241372408,0.860429523202234,0.0293509510002515,0.0291454253792323,0.00570946865143323,3.51859269850312,5.52958824106972,-67.5455826813699,0.000433842217841841,3.20983310382537e-08,0,*,*,*
th,7,0.144572612057503,0.148602435819061,0.309699514541332,3.03875776429288e-09,1.08346166903261e-09,2.20039922735406e-38,0.0972369049732126,0.101314634129698,0.19125573236673,0.195220268077282,0.000786071469977909,0.00457257978815018,0.175072685044965,0.0799140377196094,0.0795035374627672,0.0928562855095017,1.79926511900227,1.81161569192267,1.44984078091935,0.0719767529381244,0.0700455985897705,0.147102924357974,n.s,n.s,n.s
tr,3,0.143251634006496,0.299633510243815,0.610905778050198,0.000112256536359253,1.91993958899948e-16,4.47832736148552e-75,0.0710296304962431,0.231735421374601,0.213979486588601,0.364626261601369,0.000281733159279992,0.000181224250511531,0.538229006909809,0.0401059707688497,0.0402383466049939,0.0269792870778539,3.56480339726026,7.44196298453623,2.69379879945182,0.00036412902893029,9.92000225385358e-14,0.00706427943153715,*,*,*
tr,4,0.0980397191041134,0.28161830944296,0.565523048988618,0.000125730401649107,3.39149816986559e-29,1.26567567377791e-129,0.048079581912513,0.234739918917023,0.147510529233118,0.327189798527282,6.95743700634597e-05,0.00052187017072947,0.52679156711321,0.0281245496270024,0.0287606349203283,0.0202600875702988,3.48343870509445,9.77365207864548,1.91171344847435,0.000495016459982051,1.46088916240464e-22,0.0559129584151731,*,*,n.s
tr,5,0.119572083219274,0.261427053000303,0.510546217434378,2.5801386087843e-10,1.22298201993515e-44,2.6887780592514e-184,0.0827509077539203,0.22643940261188,0.156067236787701,0.295740936541955,-0.000121243924763522,-0.000139160067613397,0.512533586188204,0.0215884679081301,0.0213335543839744,0.017296111238478,5.54431781140716,12.2607891943409,-0.114902634842256,2.95102415642463e-08,1.47060615894024e-34,0.908522296627417,*,*,n.s
tr,6,0.148460816789691,0.230768910456096,0.508884466052957,2.87781362398443e-15,3.65625054166954e-35,2.38285608382899e-184,0.112034197555477,0.195396481085808,0.184488978536519,0.265541716423553,0.000992104348098865,-1.54882662445086e-05,0.470979788334593,0.0203786053205491,0.0209154776653413,0.0165509999156908,7.23644774124409,11.0341443028466,2.29017448561699,4.60589022078141e-13,2.61529082533022e-28,0.0220112038566213,*,*,n.s
tr,7,0.1270948631451,0.161654357812443,0.428854911758211,2.24879235710681e-12,3.58153043598129e-19,1.06450211275609e-135,0.0918843948190784,0.126757863350384,0.161987906473436,0.196151203429445,-0.00118789304790469,-0.00106903961594514,0.386525313095054,0.0198722327997553,0.0198613829567915,0.0188726223800255,6.45537708246776,8.19295402452052,2.24291027557243,1.07949768846282e-10,2.54891558246487e-16,0.0249026010054952,*,*,n.s
